Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2021,,,,,, 2002, 27,Female,Not In Education,A Level,Full Time,    12585.07,1786,        7.05,Head,False,Previously Fostered,       14.00,        4.00,        7.00,        0.00,        7.00,        0.00,        0.00,        0.00,        0.00,      526.51,        0.00,        0.00,        0.00,     3369.78,      629.01,      511.99,      502.33,      526.51,        0.00,        0.00,        0.00,        0.00,        0.00,    12585.07,    11970.58,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1726.45
 2022,,,,,, 2002, 28,Female,Not In Education,A Level,Full Time,    12993.60,1786,        7.28,Head,False,Previously Fostered,       14.00,        4.00,        8.00,        0.00,        8.00,        0.00,        0.00,        0.00,        0.00,      342.23,        0.00,        0.00,        0.00,     3552.71,      710.72,      555.29,      544.81,      342.23,        0.00,        0.00,        0.00,        0.00,        0.00,    12993.60,    12069.82,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1741.88
 2023,,,,,, 2002, 29,Female,Not In Education,A Level,Full Time,    13395.43,1786,        7.50,Head,False,Previously Fostered,       14.00,        4.00,        9.00,        0.00,        9.00,        0.00,        0.00,        0.00,        0.00,      160.96,        0.00,        0.00,        0.00,     3732.64,      791.09,      597.89,      586.60,      160.96,        0.00,        0.00,        0.00,        0.00,        0.00,    13395.43,    12167.42,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1757.07
 2024,,,,,, 2002, 30,Female,Not In Education,A Level,Full Time,    13789.15,1786,        7.72,Head,False,Previously Fostered,       14.00,        4.00,       10.00,        0.00,       10.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3911.55,      869.83,      639.62,      627.55,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    13789.15,    12279.70,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1774.55
 2025,,,,,, 2002, 31,Female,Not In Education,A Level,Full Time,    14173.33,1786,        7.94,Head,False,Previously Fostered,       14.00,        4.00,       11.00,        0.00,       11.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4110.63,      946.67,      680.34,      667.51,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    14173.33,    12546.32,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1816.11
 2026,,,,,, 2002, 32,Female,Not In Education,A Level,Full Time,    14546.55,1786,        8.14,Head,False,Previously Fostered,       14.00,        4.00,       12.00,        0.00,       12.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4304.08,     1021.31,      719.90,      706.32,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    14546.55,    12805.34,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1856.54
 2027,,,,,, 2002, 33,Female,Not In Education,A Level,Full Time,    14907.40,1786,        8.35,Head,False,Previously Fostered,       14.00,        4.00,       13.00,        0.00,       13.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4491.18,     1093.48,      758.15,      743.85,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    14907.40,    13055.76,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1895.69
 2028,,,,,, 2002, 34,Female,Not In Education,A Level,Full Time,    15254.47,1786,        8.54,Head,False,Previously Fostered,       14.00,        4.00,       14.00,        0.00,       14.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4671.18,     1162.89,      794.94,      779.95,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15254.47,    13296.63,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1933.40
 2029,,,,,, 2002, 35,Female,Not In Education,A Level,Full Time,    15586.41,1786,        8.73,Head,False,Previously Fostered,       14.00,        4.00,       15.00,        0.00,       15.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4843.38,     1229.28,      830.13,      814.47,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15586.41,    13527.00,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1969.51
 2030,,,,,, 2002, 36,Female,Not In Education,A Level,Full Time,    15901.89,1786,        8.90,Head,False,Previously Fostered,       14.00,        4.00,       16.00,        0.00,       16.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5007.09,     1292.38,      863.57,      847.28,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15901.89,    13745.94,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2003.86
 2031,,,,,, 2002, 37,Female,Not In Education,A Level,Full Time,    16199.62,1786,        9.07,Head,False,Previously Fostered,       14.00,        4.00,       17.00,        0.00,       17.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5161.62,     1351.92,      895.13,      878.24,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16199.62,    13952.57,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2036.32
 2032,,,,,, 2002, 38,Female,Not In Education,A Level,Full Time,    16478.38,1786,        9.23,Head,False,Previously Fostered,       14.00,        4.00,       18.00,        0.00,       18.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5306.33,     1407.68,      924.68,      907.23,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16478.38,    14146.03,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2066.75
 2033,,,,,, 2002, 39,Female,Not In Education,A Level,Full Time,    16737.01,1786,        9.37,Head,False,Previously Fostered,       14.00,        4.00,       19.00,        0.00,       19.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5440.63,     1459.40,      952.09,      934.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16737.01,    14325.52,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2095.00
 2034,,,,,, 2002, 40,Female,Not In Education,A Level,Full Time,    16974.42,1786,        9.50,Head,False,Previously Fostered,       14.00,        4.00,       20.00,        0.00,       20.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5563.92,     1506.88,      977.26,      958.82,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16974.42,    14490.27,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2120.96
 2035,,,,,, 2002, 41,Female,Not In Education,A Level,Full Time,    17189.59,1786,        9.62,Head,False,Previously Fostered,       14.00,        4.00,       21.00,        0.00,       21.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5675.68,     1549.92,     1000.07,      981.20,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17189.59,    14639.60,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2144.50
 2036,,,,,, 2002, 42,Female,Not In Education,A Level,Full Time,    17381.59,1786,        9.73,Head,False,Previously Fostered,       14.00,        4.00,       22.00,        0.00,       22.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5775.43,     1588.32,     1020.42,     1001.17,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17381.59,    14772.86,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2165.53
 2037,,,,,, 2002, 43,Female,Not In Education,A Level,Full Time,    17549.61,1786,        9.83,Head,False,Previously Fostered,       14.00,        4.00,       23.00,        0.00,       23.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5862.72,     1621.92,     1038.23,     1018.64,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17549.61,    14889.46,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2183.94
 2038,,,,,, 2002, 44,Female,Not In Education,A Level,Full Time,    17692.89,1786,        9.91,Head,False,Previously Fostered,       14.00,        4.00,       24.00,        0.00,       24.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5937.18,     1650.58,     1053.42,     1033.54,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17692.89,    14988.90,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2199.64
 2039,,,,,, 2002, 45,Female,Not In Education,A Level,Full Time,    17810.81,1786,        9.97,Head,False,Previously Fostered,       14.00,        4.00,       25.00,        0.00,       25.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5998.46,     1674.16,     1065.92,     1045.80,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17810.81,    15070.73,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2212.57
 2040,,,,,, 2002, 46,Female,Not In Education,A Level,Full Time,    17902.86,1786,       10.02,Head,False,Previously Fostered,       14.00,        4.00,       26.00,        0.00,       26.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6046.29,     1692.57,     1075.67,     1055.38,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17902.86,    15134.61,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2222.67
 2041,,,,,, 2002, 47,Female,Not In Education,A Level,Full Time,    17968.61,1786,       10.06,Head,False,Previously Fostered,       14.00,        4.00,       27.00,        0.00,       27.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6080.47,     1705.72,     1082.64,     1062.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17968.61,    15180.25,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2229.89
 2042,,,,,, 2002, 48,Female,Not In Education,A Level,Full Time,    18007.79,1786,       10.08,Head,False,Previously Fostered,       14.00,        4.00,       28.00,        0.00,       28.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6100.83,     1713.56,     1086.80,     1066.29,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    18007.79,    15207.44,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2234.19
 2043,,,,,, 2002, 49,Female,Not In Education,A Level,Full Time,    18020.21,1786,       10.09,Head,False,Previously Fostered,       14.00,        4.00,       29.00,        0.00,       29.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6107.29,     1716.04,     1088.11,     1067.58,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    18020.21,    15216.06,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2235.55
 2044,,,,,, 2002, 50,Female,Not In Education,A Level,Full Time,    18005.82,1786,       10.08,Head,False,Previously Fostered,       14.00,        4.00,       30.00,        0.00,       30.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6099.81,     1713.16,     1086.59,     1066.09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    18005.82,    15206.07,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2233.97
 2045,,,,,, 2002, 51,Female,Not In Education,A Level,Full Time,    17964.68,1786,       10.06,Head,False,Previously Fostered,       14.00,        4.00,       31.00,        0.00,       31.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6078.43,     1704.94,     1082.23,     1061.81,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17964.68,    15177.52,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2229.46
 2046,,,,,, 2002, 52,Female,Not In Education,A Level,Full Time,    17896.98,1786,       10.02,Head,False,Previously Fostered,       14.00,        4.00,       32.00,        0.00,       32.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6043.24,     1691.40,     1075.05,     1054.77,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17896.98,    15130.53,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2222.03
 2047,,,,,, 2002, 53,Female,Not In Education,A Level,Full Time,    17803.02,1786,        9.97,Head,False,Previously Fostered,       14.00,        4.00,       33.00,        0.00,       33.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5994.41,     1672.60,     1065.09,     1044.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17803.02,    15065.32,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2211.72
 2048,,,,,, 2002, 54,Female,Not In Education,A Level,Full Time,    17683.21,1786,        9.90,Head,False,Previously Fostered,       14.00,        4.00,       34.00,        0.00,       34.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5932.15,     1648.64,     1052.39,     1032.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17683.21,    14982.18,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2198.58
 2049,,,,,, 2002, 55,Female,Not In Education,A Level,Full Time,    17538.09,1786,        9.82,Head,False,Previously Fostered,       14.00,        4.00,       35.00,        0.00,       35.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5856.74,     1619.62,     1037.01,     1017.44,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17538.09,    14881.46,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2182.67
 2050,,,,,, 2002, 56,Female,Not In Education,A Level,Full Time,    17368.28,1786,        9.72,Head,False,Previously Fostered,       14.00,        4.00,       36.00,        0.00,       36.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5768.51,     1585.66,     1019.01,      999.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17368.28,    14763.62,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2164.07
 2051,,,,,, 2002, 57,Female,Not In Education,A Level,Full Time,    17174.54,1786,        9.62,Head,False,Previously Fostered,       14.00,        4.00,       37.00,        0.00,       37.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5667.87,     1546.91,      998.47,      979.63,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17174.54,    14629.16,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2142.86
 2052,,,,,, 2002, 58,Female,Not In Education,A Level,Full Time,    16957.70,1786,        9.49,Head,False,Previously Fostered,       14.00,        4.00,       38.00,        0.00,       38.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5555.24,     1503.54,      975.49,      957.08,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16957.70,    14478.68,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2119.13
 2053,,,,,, 2002, 59,Female,Not In Education,A Level,Full Time,    16718.70,1786,        9.36,Head,False,Previously Fostered,       14.00,        4.00,       39.00,        0.00,       39.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5431.12,     1455.74,      950.15,      932.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16718.70,    14312.81,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2093.00
 2054,,,,,, 2002, 60,Female,Not In Education,A Level,Full Time,    16458.55,1786,        9.22,Head,False,Previously Fostered,       14.00,        4.00,       40.00,        0.00,       40.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5296.04,     1403.71,      922.58,      905.17,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16458.55,    14132.27,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2064.58
 2055,,,,,, 2002, 61,Female,Not In Education,A Level,Full Time,    16178.36,1786,        9.06,Head,False,Previously Fostered,       14.00,        4.00,       41.00,        0.00,       41.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5150.58,     1347.67,      892.88,      876.03,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16178.36,    13937.81,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2034.00
 2056,,,,,, 2002, 62,Female,Not In Education,A Level,Full Time,    15879.28,1786,        8.89,Head,False,Previously Fostered,       14.00,        4.00,       42.00,        0.00,       42.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4995.35,     1287.86,      861.17,      844.92,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15879.28,    13730.25,    12300.00,    12300.00,        0.00,        0.00,        0.00,     2001.40
 2057,,,,,, 2002, 63,Female,Not In Education,A Level,Full Time,    15562.55,1786,        8.71,Head,False,Previously Fostered,       14.00,        4.00,       43.00,        0.00,       43.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4831.00,     1224.51,      827.60,      811.98,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15562.55,    13510.44,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1966.91
 2058,,,,,, 2002, 64,Female,Not In Education,A Level,Full Time,    15229.45,1786,        8.53,Head,False,Previously Fostered,       14.00,        4.00,       44.00,        0.00,       44.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4658.20,     1157.89,      792.29,      777.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15229.45,    13279.27,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1930.68
 2059,,,,,, 2002, 65,Female,Not In Education,A Level,Full Time,    14881.32,1786,        8.33,Head,False,Previously Fostered,       14.00,        4.00,       45.00,        0.00,       45.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4477.65,     1088.26,      755.39,      741.14,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    14881.32,    13037.66,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1892.86
Present Values  
,,Discounted 3.5%,,,Undiscounted
 ITEM,Expend, Receipts, Net%,, Expend%, Receipts 0%, Net 0%
Childrens Services,53835.96,0.00,53835.96,,56906.72,0.00,56906.72
Local Authority,0.00,0.00,0.00,,0.00,0.00,0.00
Welsh Government,29679.37,0.00,29679.37,,33472.00,0.00,33472.00
Uk Government,2933.32,93427.54,-90494.22,,3987.86,226981.28,-222993.41

Over all budgets,86448.65,0.00,53835.96,,94366.58,0.00,56906.72
