Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2021,,,,,, 2002, 27,Female,Not In Education,Degree,Full Time,    18934.64,1786,       10.60,Other Relationship,False,Previously Fostered,       16.00,        5.00,        6.00,        0.00,        6.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6582.72,     1898.93,     1185.04,     1162.68,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    18934.64,    15850.67,    25074.00,    25074.00,        0.00,        0.00,        0.00,     2336.07
 2022,,,,,, 2002, 28,Female,Not In Education,Degree,Full Time,    19954.89,1786,       11.17,Other Relationship,False,Previously Fostered,       16.00,        5.00,        7.00,        0.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7113.51,     2102.98,     1293.19,     1268.79,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    19954.89,    16558.72,    25074.00,    25074.00,        0.00,        0.00,        0.00,     2448.55
 2023,,,,,, 2002, 29,Female,Not In Education,Degree,Full Time,    20976.52,1786,       11.74,Other Relationship,False,Previously Fostered,       16.00,        5.00,        8.00,        0.00,        8.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7645.35,     2307.30,     1401.48,     1375.04,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    20976.52,    17267.73,    25074.00,    25074.00,        0.00,        0.00,        0.00,     2561.53
 2024,,,,,, 2002, 30,Female,Not In Education,Degree,Full Time,    21994.28,1786,       12.31,Other Relationship,False,Previously Fostered,       16.00,        5.00,        9.00,        0.00,        9.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,       89.48,     8161.19,     2510.86,     1509.36,     1480.88,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    21994.28,    17884.57,    25074.00,    24984.52,        0.00,        0.00,        0.00,     2660.09
 2025,,,,,, 2002, 31,Female,Not In Education,Degree,Full Time,    23002.66,1786,       12.88,Other Relationship,False,Previously Fostered,       16.00,        5.00,       10.00,        0.00,       10.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      180.24,     8672.18,     2712.53,     1616.25,     1585.76,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    23002.66,    18493.63,    25074.00,    24804.28,        0.00,        0.00,        0.00,     2757.64
 2026,,,,,, 2002, 32,Female,Not In Education,Degree,Full Time,    23995.97,1786,       13.44,Other Relationship,False,Previously Fostered,       16.00,        5.00,       11.00,        0.00,       11.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      269.64,     9175.75,     2911.19,     1721.54,     1689.06,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    23995.97,    19093.60,    25074.00,    24534.64,        0.00,        0.00,        0.00,     2853.95
 2027,,,,,, 2002, 33,Female,Not In Education,Degree,Full Time,    24968.41,1786,       13.98,Other Relationship,False,Previously Fostered,       16.00,        5.00,       12.00,        0.00,       12.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      357.16,     9668.94,     3105.68,     1824.62,     1790.19,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    24968.41,    19680.95,    25074.00,    24177.48,        0.00,        0.00,        0.00,     2948.45
 2028,,,,,, 2002, 34,Female,Not In Education,Degree,Full Time,    25914.05,1786,       14.51,Other Relationship,False,Previously Fostered,       16.00,        5.00,       13.00,        0.00,       13.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      442.26,    10148.74,     3294.81,     1924.86,     1888.54,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    25914.05,    20252.12,    25074.00,    23735.22,        0.00,        0.00,        0.00,     3040.52
 2029,,,,,, 2002, 35,Female,Not In Education,Degree,Full Time,    26826.98,1786,       15.02,Other Relationship,False,Previously Fostered,       16.00,        5.00,       14.00,        0.00,       14.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      524.43,    10612.11,     3477.40,     2021.63,     1983.49,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    26826.98,    20803.53,    25074.00,    23210.79,        0.00,        0.00,        0.00,     3129.59
 2030,,,,,, 2002, 36,Female,Not In Education,Degree,Full Time,    27701.32,1786,       15.51,Other Relationship,False,Previously Fostered,       16.00,        5.00,       15.00,        0.00,       15.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      603.12,    11056.04,     3652.26,     2114.31,     2074.42,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    27701.32,    21331.63,    25074.00,    22607.67,        0.00,        0.00,        0.00,     3215.05
 2031,,,,,, 2002, 37,Female,Not In Education,Degree,Full Time,    28531.27,1786,       15.97,Other Relationship,False,Previously Fostered,       16.00,        5.00,       16.00,        0.00,       16.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      677.81,    11477.57,     3818.25,     2202.29,     2160.73,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    28531.27,    21832.92,    25074.00,    21929.85,        0.00,        0.00,        0.00,     3296.30
 2032,,,,,, 2002, 38,Female,Not In Education,Degree,Full Time,    29311.22,1786,       16.41,Other Relationship,False,Previously Fostered,       16.00,        5.00,       17.00,        0.00,       17.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      748.01,    11873.83,     3974.24,     2284.96,     2241.85,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    29311.22,    22304.01,    25074.00,    21181.85,        0.00,        0.00,        0.00,     3372.77
 2033,,,,,, 2002, 39,Female,Not In Education,Degree,Full Time,    30035.77,1786,       16.82,Other Relationship,False,Previously Fostered,       16.00,        5.00,       18.00,        0.00,       18.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      813.22,    12242.03,     4119.15,     2361.76,     2317.20,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    30035.77,    22741.63,    25074.00,    20368.63,        0.00,        0.00,        0.00,     3443.92
 2034,,,,,, 2002, 40,Female,Not In Education,Degree,Full Time,    30699.80,1786,       17.19,Other Relationship,False,Previously Fostered,       16.00,        5.00,       19.00,        0.00,       19.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      872.98,    12579.57,     4251.96,     2432.15,     2386.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    30699.80,    23142.71,    25074.00,    19495.64,        0.00,        0.00,        0.00,     3509.20
 2035,,,,,, 2002, 41,Female,Not In Education,Degree,Full Time,    31298.57,1786,       17.52,Other Relationship,False,Previously Fostered,       16.00,        5.00,       20.00,        0.00,       20.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      926.87,    12884.00,     4371.71,     2495.62,     2448.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31298.57,    23504.37,    25074.00,    18568.77,        0.00,        0.00,        0.00,     3568.14
 2036,,,,,, 2002, 42,Female,Not In Education,Degree,Full Time,    31827.72,1786,       17.82,Other Relationship,False,Previously Fostered,       16.00,        5.00,       21.00,        0.00,       21.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      974.49,    13153.09,     4477.54,     2551.71,     2503.56,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31827.72,    23823.97,    25074.00,    17594.28,        0.00,        0.00,        0.00,     3620.27
 2037,,,,,, 2002, 43,Female,Not In Education,Degree,Full Time,    32283.35,1786,       18.08,Other Relationship,False,Previously Fostered,       16.00,        5.00,       22.00,        0.00,       22.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1015.50,    13384.83,     4568.67,     2600.01,     2550.95,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32283.35,    24099.17,    25074.00,    16578.78,        0.00,        0.00,        0.00,     3665.20
 2038,,,,,, 2002, 44,Female,Not In Education,Degree,Full Time,    32662.07,1786,       18.29,Other Relationship,False,Previously Fostered,       16.00,        5.00,       23.00,        0.00,       23.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1049.59,    13577.47,     4644.41,     2640.15,     2590.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32662.07,    24327.92,    25074.00,    15529.19,        0.00,        0.00,        0.00,     3702.58
 2039,,,,,, 2002, 45,Female,Not In Education,Degree,Full Time,    32961.04,1786,       18.46,Other Relationship,False,Previously Fostered,       16.00,        5.00,       24.00,        0.00,       24.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1076.49,    13729.57,     4704.21,     2671.84,     2621.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32961.04,    24508.50,    25074.00,    14452.70,        0.00,        0.00,        0.00,     3732.09
 2040,,,,,, 2002, 46,Female,Not In Education,Degree,Full Time,    33178.00,1786,       18.58,Other Relationship,False,Previously Fostered,       16.00,        5.00,       25.00,        0.00,       25.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1096.02,    13839.96,     4747.60,     2694.84,     2643.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    33178.00,    24639.54,    25074.00,    13356.68,        0.00,        0.00,        0.00,     3753.53
 2041,,,,,, 2002, 47,Female,Not In Education,Degree,Full Time,    33311.29,1786,       18.65,Other Relationship,False,Previously Fostered,       16.00,        5.00,       26.00,        0.00,       26.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1108.02,    13907.78,     4774.26,     2708.97,     2657.85,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    33311.29,    24720.05,    25074.00,    12248.66,        0.00,        0.00,        0.00,     3766.70
 2042,,,,,, 2002, 48,Female,Not In Education,Degree,Full Time,    33359.91,1786,       18.68,Other Relationship,False,Previously Fostered,       16.00,        5.00,       27.00,        0.00,       27.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1112.39,    13932.51,     4783.98,     2714.12,     2662.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    33359.91,    24749.41,    25074.00,    11136.27,        0.00,        0.00,        0.00,     3771.50
 2043,,,,,, 2002, 49,Female,Not In Education,Degree,Full Time,    33323.48,1786,       18.66,Other Relationship,False,Previously Fostered,       16.00,        5.00,       28.00,        0.00,       28.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1109.11,    13913.98,     4776.70,     2710.26,     2659.12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    33323.48,    24727.41,    25074.00,    10027.15,        0.00,        0.00,        0.00,     3767.90
 2044,,,,,, 2002, 50,Female,Not In Education,Degree,Full Time,    33202.27,1786,       18.59,Other Relationship,False,Previously Fostered,       16.00,        5.00,       29.00,        0.00,       29.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1098.20,    13852.31,     4752.45,     2697.41,     2646.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    33202.27,    24654.20,    25074.00,     8928.95,        0.00,        0.00,        0.00,     3755.92
 2045,,,,,, 2002, 51,Female,Not In Education,Degree,Full Time,    32997.22,1786,       18.48,Other Relationship,False,Previously Fostered,       16.00,        5.00,       30.00,        0.00,       30.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1079.75,    13747.98,     4711.44,     2675.68,     2625.19,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32997.22,    24530.35,    25074.00,     7849.20,        0.00,        0.00,        0.00,     3735.67
 2046,,,,,, 2002, 52,Female,Not In Education,Degree,Full Time,    32709.88,1786,       18.31,Other Relationship,False,Previously Fostered,       16.00,        5.00,       31.00,        0.00,       31.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1053.89,    13601.80,     4653.98,     2645.22,     2595.31,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32709.88,    24356.80,    25074.00,     6795.31,        0.00,        0.00,        0.00,     3707.29
 2047,,,,,, 2002, 53,Female,Not In Education,Degree,Full Time,    32342.43,1786,       18.11,Other Relationship,False,Previously Fostered,       16.00,        5.00,       32.00,        0.00,       32.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1020.82,    13414.88,     4580.49,     2606.27,     2557.09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32342.43,    24134.86,    25074.00,     5774.49,        0.00,        0.00,        0.00,     3671.03
 2048,,,,,, 2002, 54,Female,Not In Education,Degree,Full Time,    31897.63,1786,       17.86,Other Relationship,False,Previously Fostered,       16.00,        5.00,       33.00,        0.00,       33.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      980.79,    13188.64,     4491.53,     2559.12,     2510.83,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31897.63,    23866.20,    25074.00,     4793.71,        0.00,        0.00,        0.00,     3627.16
 2049,,,,,, 2002, 55,Female,Not In Education,Degree,Full Time,    31378.79,1786,       17.57,Other Relationship,False,Previously Fostered,       16.00,        5.00,       34.00,        0.00,       34.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      934.09,    12924.79,     4387.76,     2504.12,     2456.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31378.79,    23552.82,    25074.00,     3859.61,        0.00,        0.00,        0.00,     3576.04
 2050,,,,,, 2002, 56,Female,Not In Education,Degree,Full Time,    30789.75,1786,       17.24,Other Relationship,False,Previously Fostered,       16.00,        5.00,       35.00,        0.00,       35.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      881.08,    12625.30,     4269.95,     2441.68,     2395.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    30789.75,    23197.04,    25074.00,     2978.54,        0.00,        0.00,        0.00,     3518.05
 2051,,,,,, 2002, 57,Female,Not In Education,Degree,Full Time,    30134.78,1786,       16.87,Other Relationship,False,Previously Fostered,       16.00,        5.00,       36.00,        0.00,       36.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      822.13,    12292.36,     4138.96,     2372.26,     2327.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    30134.78,    22801.44,    25074.00,     2156.41,        0.00,        0.00,        0.00,     3453.65
 2052,,,,,, 2002, 58,Female,Not In Education,Degree,Full Time,    29418.60,1786,       16.47,Other Relationship,False,Previously Fostered,       16.00,        5.00,       37.00,        0.00,       37.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      757.67,    11928.39,     3995.72,     2296.34,     2253.01,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    29418.60,    22368.87,    25074.00,     1398.73,        0.00,        0.00,        0.00,     3383.31
 2053,,,,,, 2002, 59,Female,Not In Education,Degree,Full Time,    28646.27,1786,       16.04,Other Relationship,False,Previously Fostered,       16.00,        5.00,       38.00,        0.00,       38.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      688.16,    11535.99,     3841.25,     2214.47,     2172.69,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    28646.27,    21902.38,    25074.00,      710.57,        0.00,        0.00,        0.00,     3307.57
 2054,,,,,, 2002, 60,Female,Not In Education,Degree,Full Time,    27823.15,1786,       15.58,Other Relationship,False,Previously Fostered,       16.00,        5.00,       39.00,        0.00,       39.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      614.08,    11117.90,     3676.63,     2127.22,     2087.09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    27823.15,    21405.21,    25074.00,       96.48,        0.00,        0.00,        0.00,     3226.96
 2055,,,,,, 2002, 61,Female,Not In Education,Degree,Full Time,    26954.82,1786,       15.09,Other Relationship,False,Previously Fostered,       16.00,        5.00,       40.00,        0.00,       40.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,       96.48,    10748.12,     3502.96,     2035.18,     1996.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    26954.82,    21320.19,    25074.00,        0.00,        0.00,        0.00,        0.00,     3213.19
 2056,,,,,, 2002, 62,Female,Not In Education,Degree,Full Time,    26047.06,1786,       14.58,Other Relationship,False,Previously Fostered,       16.00,        5.00,       41.00,        0.00,       41.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10289.61,     3321.41,     1938.96,     1902.37,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    26047.06,    20786.69,    25074.00,        0.00,        0.00,        0.00,        0.00,     3126.87
 2057,,,,,, 2002, 63,Female,Not In Education,Degree,Full Time,    25105.74,1786,       14.06,Other Relationship,False,Previously Fostered,       16.00,        5.00,       42.00,        0.00,       42.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     9798.18,     3133.15,     1839.18,     1804.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    25105.74,    20133.41,    25074.00,        0.00,        0.00,        0.00,        0.00,     3021.37
 2058,,,,,, 2002, 64,Female,Not In Education,Degree,Full Time,    24136.78,1786,       13.51,Other Relationship,False,Previously Fostered,       16.00,        5.00,       43.00,        0.00,       43.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     9292.56,     2939.36,     1736.47,     1703.71,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    24136.78,    19460.96,    25074.00,        0.00,        0.00,        0.00,        0.00,     2913.03
 2059,,,,,, 2002, 65,Female,Not In Education,Degree,Full Time,    23146.10,1786,       12.96,Other Relationship,False,Previously Fostered,       16.00,        5.00,       44.00,        0.00,       44.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8775.88,     2741.22,     1631.46,     1600.67,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    23146.10,    18773.42,    25074.00,        0.00,        0.00,        0.00,        0.00,     2802.53
Present Values  
,,Discounted 3.5%,,,Undiscounted
 ITEM,Expend, Receipts, Net%,, Expend%, Receipts 0%, Net 0%
Childrens Services,83094.95,9221.60,73873.35,,89943.00,10400.00,79543.00
Local Authority,0.00,0.00,0.00,,0.00,0.00,0.00
Welsh Government,37967.15,8929.91,29037.24,,43551.00,25074.00,18477.00
Uk Government,0.00,188822.04,-188822.04,,0.00,478237.53,-478237.53

Over all budgets,121062.11,9221.60,73873.35,,133494.00,10400.00,79543.00
