Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2021,,,,,, 2002, 27,Female,Not In Education,Degree,Full Time,    18472.41,1786,       10.34,Head,False,Previously Fostered,       14.00,        5.00,        4.00,        0.00,        4.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6342.36,     1806.48,     1136.05,     1114.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    18472.41,    15529.88,    18450.00,    18450.00,        0.00,        0.00,        0.00,     2285.22
 2022,,,,,, 2002, 28,Female,Not In Education,Degree,Full Time,    19467.74,1786,       10.90,Head,False,Previously Fostered,       14.00,        5.00,        5.00,        0.00,        5.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6860.02,     2005.55,     1241.55,     1218.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    19467.74,    16220.64,    18450.00,    18450.00,        0.00,        0.00,        0.00,     2394.80
 2023,,,,,, 2002, 29,Female,Not In Education,Degree,Full Time,    20464.44,1786,       11.46,Head,False,Previously Fostered,       14.00,        5.00,        6.00,        0.00,        6.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7378.73,     2204.89,     1347.20,     1321.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    20464.44,    16912.35,    18450.00,    18450.00,        0.00,        0.00,        0.00,     2504.86
 2024,,,,,, 2002, 30,Female,Not In Education,Degree,Full Time,    21457.35,1786,       12.01,Head,False,Previously Fostered,       14.00,        5.00,        7.00,        0.00,        7.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,       41.16,     7889.20,     2403.47,     1452.45,     1425.04,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    21457.35,    17560.27,    18450.00,    18408.84,        0.00,        0.00,        0.00,     2608.24
 2025,,,,,, 2002, 31,Female,Not In Education,Degree,Full Time,    22441.11,1786,       12.57,Head,False,Previously Fostered,       14.00,        5.00,        8.00,        0.00,        8.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      129.70,     8387.59,     2600.22,     1556.73,     1527.36,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    22441.11,    18154.46,    18450.00,    18279.14,        0.00,        0.00,        0.00,     2703.29
 2026,,,,,, 2002, 32,Female,Not In Education,Degree,Full Time,    23410.18,1786,       13.11,Head,False,Previously Fostered,       14.00,        5.00,        9.00,        0.00,        9.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      216.92,     8878.75,     2794.04,     1659.45,     1628.14,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    23410.18,    18739.78,    18450.00,    18062.22,        0.00,        0.00,        0.00,     2797.13
 2027,,,,,, 2002, 33,Female,Not In Education,Degree,Full Time,    24358.87,1786,       13.64,Head,False,Previously Fostered,       14.00,        5.00,       10.00,        0.00,       10.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      302.30,     9359.78,     2983.77,     1760.01,     1726.80,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    24358.87,    19312.79,    18450.00,    17759.92,        0.00,        0.00,        0.00,     2889.19
 2028,,,,,, 2002, 34,Female,Not In Education,Degree,Full Time,    25281.43,1786,       14.16,Head,False,Previously Fostered,       14.00,        5.00,       11.00,        0.00,       11.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      385.33,     9827.74,     3168.29,     1857.80,     1822.75,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    25281.43,    19870.01,    18450.00,    17374.60,        0.00,        0.00,        0.00,     2978.90
 2029,,,,,, 2002, 35,Female,Not In Education,Degree,Full Time,    26172.08,1786,       14.65,Head,False,Previously Fostered,       14.00,        5.00,       12.00,        0.00,       12.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      465.49,    10279.68,     3346.42,     1952.21,     1915.38,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    26172.08,    20407.96,    18450.00,    16909.11,        0.00,        0.00,        0.00,     3065.68
 2030,,,,,, 2002, 36,Female,Not In Education,Degree,Full Time,    27025.07,1786,       15.13,Head,False,Previously Fostered,       14.00,        5.00,       13.00,        0.00,       13.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      542.26,    10712.67,     3517.01,     2042.63,     2004.09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    27025.07,    20923.17,    18450.00,    16366.85,        0.00,        0.00,        0.00,     3148.94
 2031,,,,,, 2002, 37,Female,Not In Education,Degree,Full Time,    27834.76,1786,       15.58,Head,False,Previously Fostered,       14.00,        5.00,       14.00,        0.00,       14.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      615.13,    11123.80,     3678.95,     2128.45,     2088.30,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    27834.76,    21412.23,    18450.00,    15751.72,        0.00,        0.00,        0.00,     3228.10
 2032,,,,,, 2002, 38,Female,Not In Education,Degree,Full Time,    28595.67,1786,       16.01,Head,False,Previously Fostered,       14.00,        5.00,       15.00,        0.00,       15.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      683.61,    11510.28,     3831.13,     2209.11,     2167.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    28595.67,    21871.81,    18450.00,    15068.11,        0.00,        0.00,        0.00,     3302.61
 2033,,,,,, 2002, 39,Female,Not In Education,Degree,Full Time,    29302.53,1786,       16.41,Head,False,Previously Fostered,       14.00,        5.00,       16.00,        0.00,       16.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      747.23,    11869.41,     3972.51,     2284.04,     2240.94,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    29302.53,    22298.76,    18450.00,    14320.89,        0.00,        0.00,        0.00,     3371.92
 2034,,,,,, 2002, 40,Female,Not In Education,Degree,Full Time,    29950.35,1786,       16.77,Head,False,Previously Fostered,       14.00,        5.00,       17.00,        0.00,       17.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      805.53,    12198.62,     4102.07,     2352.71,     2308.32,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    29950.35,    22690.04,    18450.00,    13515.36,        0.00,        0.00,        0.00,     3435.53
 2035,,,,,, 2002, 41,Female,Not In Education,Degree,Full Time,    30534.50,1786,       17.10,Head,False,Previously Fostered,       14.00,        5.00,       18.00,        0.00,       18.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      858.11,    12495.54,     4218.90,     2414.63,     2369.07,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    30534.50,    23042.87,    18450.00,    12657.25,        0.00,        0.00,        0.00,     3492.94
 2036,,,,,, 2002, 42,Female,Not In Education,Degree,Full Time,    31050.73,1786,       17.39,Head,False,Previously Fostered,       14.00,        5.00,       19.00,        0.00,       19.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      904.57,    12757.99,     4322.15,     2469.35,     2422.76,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31050.73,    23354.67,    18450.00,    11752.68,        0.00,        0.00,        0.00,     3543.74
 2037,,,,,, 2002, 43,Female,Not In Education,Degree,Full Time,    31495.24,1786,       17.63,Head,False,Previously Fostered,       14.00,        5.00,       20.00,        0.00,       20.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      944.57,    12984.01,     4411.05,     2516.47,     2468.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31495.24,    23623.16,    18450.00,    10808.11,        0.00,        0.00,        0.00,     3587.51
 2038,,,,,, 2002, 44,Female,Not In Education,Degree,Full Time,    31864.72,1786,       17.84,Head,False,Previously Fostered,       14.00,        5.00,       21.00,        0.00,       21.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      977.82,    13171.90,     4484.94,     2555.63,     2507.41,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31864.72,    23846.32,    18450.00,     9830.29,        0.00,        0.00,        0.00,     3623.92
 2039,,,,,, 2002, 45,Female,Not In Education,Degree,Full Time,    32156.39,1786,       18.00,Head,False,Previously Fostered,       14.00,        5.00,       22.00,        0.00,       22.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1004.07,    13320.25,     4543.28,     2586.55,     2537.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32156.39,    24022.49,    18450.00,     8826.21,        0.00,        0.00,        0.00,     3652.68
 2040,,,,,, 2002, 46,Female,Not In Education,Degree,Full Time,    32368.05,1786,       18.12,Head,False,Previously Fostered,       14.00,        5.00,       23.00,        0.00,       23.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1023.12,    13427.91,     4585.61,     2608.98,     2559.76,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32368.05,    24150.33,    18450.00,     7803.09,        0.00,        0.00,        0.00,     3673.56
 2041,,,,,, 2002, 47,Female,Not In Education,Degree,Full Time,    32498.09,1786,       18.20,Head,False,Previously Fostered,       14.00,        5.00,       24.00,        0.00,       24.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1034.83,    13494.06,     4611.62,     2622.77,     2573.28,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32498.09,    24228.87,    18450.00,     6768.26,        0.00,        0.00,        0.00,     3686.39
 2042,,,,,, 2002, 48,Female,Not In Education,Degree,Full Time,    32545.52,1786,       18.22,Head,False,Previously Fostered,       14.00,        5.00,       25.00,        0.00,       25.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1039.10,    13518.18,     4621.10,     2627.79,     2578.21,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32545.52,    24257.52,    18450.00,     5729.16,        0.00,        0.00,        0.00,     3691.07
 2043,,,,,, 2002, 49,Female,Not In Education,Degree,Full Time,    32509.97,1786,       18.20,Head,False,Previously Fostered,       14.00,        5.00,       26.00,        0.00,       26.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1035.90,    13500.10,     4613.99,     2624.03,     2574.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32509.97,    24236.05,    18450.00,     4693.27,        0.00,        0.00,        0.00,     3687.56
 2044,,,,,, 2002, 50,Female,Not In Education,Degree,Full Time,    32391.73,1786,       18.14,Head,False,Previously Fostered,       14.00,        5.00,       27.00,        0.00,       27.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1025.26,    13439.95,     4590.35,     2611.49,     2562.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32391.73,    24164.63,    18450.00,     3668.01,        0.00,        0.00,        0.00,     3675.89
 2045,,,,,, 2002, 51,Female,Not In Education,Degree,Full Time,    32191.68,1786,       18.02,Head,False,Previously Fostered,       14.00,        5.00,       28.00,        0.00,       28.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1007.25,    13338.20,     4550.34,     2590.29,     2541.42,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    32191.68,    24043.81,    18450.00,     2660.76,        0.00,        0.00,        0.00,     3656.16
 2046,,,,,, 2002, 52,Female,Not In Education,Degree,Full Time,    31911.36,1786,       17.87,Head,False,Previously Fostered,       14.00,        5.00,       29.00,        0.00,       29.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      982.02,    13195.62,     4494.27,     2560.57,     2512.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31911.36,    23874.49,    18450.00,     1678.74,        0.00,        0.00,        0.00,     3628.52
 2047,,,,,, 2002, 53,Female,Not In Education,Degree,Full Time,    31552.88,1786,       17.67,Head,False,Previously Fostered,       14.00,        5.00,       30.00,        0.00,       30.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      949.76,    13013.32,     4422.58,     2522.58,     2474.98,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31552.88,    23657.97,    18450.00,      728.98,        0.00,        0.00,        0.00,     3593.19
 2048,,,,,, 2002, 54,Female,Not In Education,Degree,Full Time,    31118.94,1786,       17.42,Head,False,Previously Fostered,       14.00,        5.00,       31.00,        0.00,       31.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      728.98,    12822.29,     4335.79,     2476.58,     2429.85,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    31118.94,    23577.59,    18450.00,        0.00,        0.00,        0.00,        0.00,     3580.08
 2049,,,,,, 2002, 55,Female,Not In Education,Degree,Full Time,    30612.77,1786,       17.14,Head,False,Previously Fostered,       14.00,        5.00,       32.00,        0.00,       32.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    12676.39,     4234.55,     2422.92,     2377.21,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    30612.77,    23955.29,    18450.00,        0.00,        0.00,        0.00,        0.00,     3641.71
 2050,,,,,, 2002, 56,Female,Not In Education,Degree,Full Time,    30038.10,1786,       16.82,Head,False,Previously Fostered,       14.00,        5.00,       33.00,        0.00,       33.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    12375.70,     4119.62,     2362.01,     2317.44,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    30038.10,    23556.47,    18450.00,        0.00,        0.00,        0.00,        0.00,     3576.63
 2051,,,,,, 2002, 57,Female,Not In Education,Degree,Full Time,    29399.12,1786,       16.46,Head,False,Previously Fostered,       14.00,        5.00,       34.00,        0.00,       34.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    12041.46,     3991.82,     2294.28,     2250.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    29399.12,    23113.02,    18450.00,        0.00,        0.00,        0.00,        0.00,     3504.37
 2052,,,,,, 2002, 58,Female,Not In Education,Degree,Full Time,    28700.43,1786,       16.07,Head,False,Previously Fostered,       14.00,        5.00,       35.00,        0.00,       35.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    11676.08,     3852.09,     2220.22,     2178.32,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    28700.43,    22628.13,    18450.00,        0.00,        0.00,        0.00,        0.00,     3425.46
 2053,,,,,, 2002, 59,Female,Not In Education,Degree,Full Time,    27946.95,1786,       15.65,Head,False,Previously Fostered,       14.00,        5.00,       36.00,        0.00,       36.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    11282.19,     3701.39,     2140.35,     2099.96,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    27946.95,    22105.21,    18450.00,        0.00,        0.00,        0.00,        0.00,     3340.49
 2054,,,,,, 2002, 60,Female,Not In Education,Degree,Full Time,    27143.92,1786,       15.20,Head,False,Previously Fostered,       14.00,        5.00,       37.00,        0.00,       37.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10862.54,     3540.78,     2055.23,     2016.45,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    27143.92,    21547.91,    18450.00,        0.00,        0.00,        0.00,        0.00,     3250.09
 2055,,,,,, 2002, 61,Female,Not In Education,Degree,Full Time,    26296.79,1786,       14.72,Head,False,Previously Fostered,       14.00,        5.00,       38.00,        0.00,       38.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10420.03,     3371.36,     1965.43,     1928.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    26296.79,    20960.00,    18450.00,        0.00,        0.00,        0.00,        0.00,     3154.90
 2056,,,,,, 2002, 62,Female,Not In Education,Degree,Full Time,    25411.19,1786,       14.23,Head,False,Previously Fostered,       14.00,        5.00,       39.00,        0.00,       39.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     9957.62,     3194.24,     1871.56,     1836.24,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    25411.19,    20345.40,    18450.00,        0.00,        0.00,        0.00,        0.00,     3055.58
 2057,,,,,, 2002, 63,Female,Not In Education,Degree,Full Time,    24492.85,1786,       13.71,Head,False,Previously Fostered,       14.00,        5.00,       40.00,        0.00,       40.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     9478.33,     3010.57,     1774.21,     1740.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    24492.85,    19708.07,    18450.00,        0.00,        0.00,        0.00,        0.00,     2952.81
 2058,,,,,, 2002, 64,Female,Not In Education,Degree,Full Time,    23547.55,1786,       13.18,Head,False,Previously Fostered,       14.00,        5.00,       41.00,        0.00,       41.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8985.22,     2821.51,     1674.01,     1642.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    23547.55,    19052.03,    18450.00,        0.00,        0.00,        0.00,        0.00,     2847.27
 2059,,,,,, 2002, 65,Female,Not In Education,Degree,Full Time,    22581.05,1786,       12.64,Head,False,Previously Fostered,       14.00,        5.00,       42.00,        0.00,       42.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8481.31,     2628.21,     1571.56,     1541.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    22581.05,    18381.28,    18450.00,        0.00,        0.00,        0.00,        0.00,     2739.63
Present Values  
,,Discounted 3.5%,,,Undiscounted
 ITEM,Expend, Receipts, Net%,, Expend%, Receipts 0%, Net 0%
Childrens Services,54785.88,0.00,54785.88,,58328.58,0.00,58328.58
Local Authority,0.00,0.00,0.00,,0.00,0.00,0.00
Welsh Government,40860.35,7046.35,33814.00,,50208.00,18450.00,31758.00
Uk Government,11212.19,180419.90,-169207.71,,12644.96,460840.02,-448195.06

Over all budgets,106858.43,0.00,54785.88,,121181.54,0.00,58328.58
